,Date,Open,High,Low,Close,Adj Close,Volume,date,long_MA,short_MA,crosszero,accumulation,position,buy,sell
0,2022-07-01,253.5,253.5,244.0,244.0,209.53359985351562,623000,2022-07-01,244.0,,0.0,0,,,
1,2022-07-04,245.0,252.0,240.5,240.5,206.52798461914062,727000,2022-07-04,240.5,,0.0,0,0.0,,
2,2022-07-05,248.5,249.0,241.0,242.0,207.8161163330078,762000,2022-07-05,242.0,,0.0,0,0.0,,
3,2022-07-06,244.0,256.5,244.0,253.5,217.69166564941406,1264000,2022-07-06,253.5,,0.0,0,0.0,,
4,2022-07-07,255.0,270.0,255.0,270.0,231.86094665527344,1560000,2022-07-07,270.0,250.0,1.0,0,0.0,,
5,2022-07-08,279.0,279.0,264.5,271.0,232.71969604492188,1100000,2022-07-08,271.0,255.4,1.0,0,0.0,,
6,2022-07-11,267.5,271.5,263.0,267.5,229.71408081054688,783000,2022-07-11,267.5,260.8,1.0,1,1.0,267.5,
7,2022-07-12,264.0,265.0,256.5,258.0,221.55601501464844,1017000,2022-07-12,258.0,264.0,0.0,0,-1.0,,258.0
8,2022-07-13,236.5,242.0,230.5,234.0,223.46597290039062,1607000,2022-07-13,234.0,260.1,0.0,0,0.0,,
9,2022-07-14,233.0,240.0,232.5,237.5,226.8084259033203,395000,2022-07-14,237.5,253.6,0.0,0,0.0,,
10,2022-07-15,242.0,246.5,241.0,245.0,233.97079467773438,811000,2022-07-15,245.0,248.4,0.0,0,0.0,,
11,2022-07-18,249.0,269.5,246.0,269.5,257.36785888671875,1028000,2022-07-18,269.5,248.8,1.0,0,0.0,,
12,2022-07-19,265.0,283.5,263.0,278.5,265.96270751953125,2409000,2022-07-19,278.5,252.9,1.0,0,0.0,,
13,2022-07-20,280.0,284.5,276.0,278.0,265.4852294921875,1987000,2022-07-20,278.0,261.7,1.0,1,1.0,278.0,
14,2022-07-21,275.5,283.0,271.5,283.0,270.2601318359375,1322000,2022-07-21,283.0,270.8,1.0,1,0.0,,
15,2022-07-22,283.0,283.0,272.0,275.0,262.6202697753906,1540000,2022-07-22,275.0,276.8,0.0,0,-1.0,,275.0
16,2022-07-25,274.5,274.5,265.5,267.0,254.98040771484375,1017000,2022-07-25,267.0,276.3,0.0,0,0.0,,
17,2022-07-26,267.0,267.0,260.5,261.0,249.25051879882812,565000,2022-07-26,261.0,272.8,0.0,0,0.0,,
18,2022-07-27,262.0,266.5,260.5,263.5,251.63796997070312,575000,2022-07-27,263.5,269.9,0.0,0,0.0,,
19,2022-07-28,266.5,267.5,259.0,262.5,250.6829833984375,575000,2022-07-28,262.5,265.8,0.0,0,0.0,,
20,2022-07-29,265.0,266.5,261.0,264.0,252.11546325683594,761000,2022-07-29,264.0,263.6,1.0,0,0.0,,
21,2022-08-01,265.0,265.0,257.0,259.0,247.34054565429688,658000,2022-08-01,259.0,262.0,0.0,0,0.0,,
22,2022-08-02,259.0,259.0,252.5,257.0,245.4305877685547,727000,2022-08-02,257.0,261.2,0.0,0,0.0,,
23,2022-08-03,257.0,260.5,254.0,256.5,244.95309448242188,492000,2022-08-03,256.5,259.8,0.0,0,0.0,,
24,2022-08-04,255.0,256.0,252.5,256.0,244.47560119628906,376000,2022-08-04,256.0,258.5,0.0,0,0.0,,
25,2022-08-05,257.0,260.0,256.0,258.0,246.3855743408203,466000,2022-08-05,258.0,257.3,1.0,0,0.0,,
26,2022-08-08,257.0,257.5,252.5,257.0,245.4305877685547,343000,2022-08-08,257.0,256.9,1.0,0,0.0,,
27,2022-08-09,254.5,259.0,254.5,258.0,246.3855743408203,245000,2022-08-09,258.0,257.1,1.0,1,1.0,258.0,
28,2022-08-10,257.0,260.0,256.5,257.0,245.4305877685547,299000,2022-08-10,257.0,257.2,0.0,0,-1.0,,257.0
29,2022-08-11,260.5,267.0,260.0,265.0,253.07044982910156,518000,2022-08-11,265.0,259.0,1.0,0,0.0,,
30,2022-08-12,271.5,283.5,269.5,282.5,269.78265380859375,1760000,2022-08-12,282.5,263.9,1.0,0,0.0,,
31,2022-08-15,286.0,286.0,276.0,276.0,263.57525634765625,1424000,2022-08-15,276.0,267.7,1.0,1,1.0,276.0,
32,2022-08-16,277.0,281.5,276.5,279.0,266.4402160644531,967000,2022-08-16,279.0,271.9,1.0,1,0.0,,
33,2022-08-17,280.0,284.0,280.0,283.5,270.7376403808594,654000,2022-08-17,283.5,277.2,1.0,1,0.0,,
34,2022-08-18,281.0,285.0,279.0,285.0,272.17010498046875,571000,2022-08-18,285.0,281.2,1.0,1,0.0,,
35,2022-08-19,286.5,288.5,284.5,287.0,274.080078125,764000,2022-08-19,287.0,282.1,1.0,1,0.0,,
36,2022-08-22,285.0,285.5,283.0,285.0,272.17010498046875,197000,2022-08-22,285.0,283.9,1.0,1,0.0,,
37,2022-08-23,282.5,285.5,281.0,285.5,272.6475830078125,496000,2022-08-23,285.5,285.2,1.0,1,0.0,,
38,2022-08-24,286.0,289.5,281.5,284.0,271.2151184082031,530000,2022-08-24,284.0,285.3,0.0,0,-1.0,,284.0
39,2022-08-25,285.0,287.0,284.5,287.0,274.080078125,299000,2022-08-25,287.0,285.7,1.0,0,0.0,,
40,2022-08-26,290.5,290.5,285.5,288.0,275.0350646972656,441000,2022-08-26,288.0,285.9,1.0,0,0.0,,
41,2022-08-29,281.0,283.0,278.0,283.0,270.2601318359375,254000,2022-08-29,283.0,285.5,0.0,0,0.0,,
42,2022-08-30,285.0,288.0,282.0,287.0,274.080078125,368000,2022-08-30,287.0,285.8,1.0,0,0.0,,
43,2022-08-31,287.0,288.5,285.0,288.5,275.5125427246094,274000,2022-08-31,288.5,286.7,1.0,0,0.0,,
44,2022-09-01,287.5,287.5,282.0,285.0,272.17010498046875,322000,2022-09-01,285.0,286.3,0.0,0,0.0,,
45,2022-09-02,285.5,286.5,284.5,286.0,273.1250915527344,195000,2022-09-02,286.0,285.9,1.0,0,0.0,,
46,2022-09-05,286.0,286.0,278.0,278.0,265.4852294921875,505000,2022-09-05,278.0,284.9,0.0,0,0.0,,
47,2022-09-06,279.0,280.0,271.5,274.5,262.1427917480469,626000,2022-09-06,274.5,282.4,0.0,0,0.0,,
48,2022-09-07,274.5,276.5,270.5,274.5,262.1427917480469,357000,2022-09-07,274.5,279.6,0.0,0,0.0,,
49,2022-09-08,276.5,281.5,276.5,281.0,268.35015869140625,407000,2022-09-08,281.0,278.8,1.0,0,0.0,,
50,2022-09-12,282.5,287.5,282.5,284.0,271.2151184082031,280000,2022-09-12,284.0,278.4,1.0,0,0.0,,
51,2022-09-13,285.5,288.5,283.0,283.0,270.2601318359375,324000,2022-09-13,283.0,279.4,1.0,1,1.0,283.0,
52,2022-09-14,275.5,281.5,275.5,280.0,267.39520263671875,229000,2022-09-14,280.0,280.5,0.0,0,-1.0,,280.0
53,2022-09-15,280.5,283.0,279.5,279.5,266.9176940917969,316000,2022-09-15,279.5,281.5,0.0,0,0.0,,
54,2022-09-16,279.5,279.5,276.0,279.0,266.4402160644531,693000,2022-09-16,279.0,281.1,0.0,0,0.0,,
55,2022-09-19,278.0,279.0,275.0,277.0,264.5302429199219,176000,2022-09-19,277.0,279.7,0.0,0,0.0,,
56,2022-09-20,277.0,281.0,277.0,281.0,268.35015869140625,272000,2022-09-20,281.0,279.3,1.0,0,0.0,,
57,2022-09-21,279.0,279.5,274.0,275.0,262.6202697753906,287000,2022-09-21,275.0,278.3,0.0,0,0.0,,
58,2022-09-22,275.0,278.0,271.0,278.0,265.4852294921875,335000,2022-09-22,278.0,278.0,0.0,0,0.0,,
59,2022-09-23,278.0,281.0,275.5,277.5,265.0077209472656,286000,2022-09-23,277.5,277.7,0.0,0,0.0,,
60,2022-09-26,275.0,275.0,266.0,266.0,254.0254364013672,537000,2022-09-26,266.0,275.5,0.0,0,0.0,,
61,2022-09-27,269.5,272.5,265.5,272.0,259.7553405761719,613000,2022-09-27,272.0,273.7,0.0,0,0.0,,
62,2022-09-28,273.5,273.5,258.5,259.0,247.34054565429688,729000,2022-09-28,259.0,270.5,0.0,0,0.0,,
63,2022-09-29,264.5,265.5,259.0,263.0,251.1604766845703,624000,2022-09-29,263.0,267.5,0.0,0,0.0,,
64,2022-09-30,259.5,264.0,255.5,264.0,252.11546325683594,356000,2022-09-30,264.0,264.8,0.0,0,0.0,,
65,2022-10-03,259.0,267.0,259.0,264.0,252.11546325683594,232000,2022-10-03,264.0,264.4,0.0,0,0.0,,
66,2022-10-04,270.0,275.0,268.0,274.0,261.665283203125,421000,2022-10-04,274.0,264.8,1.0,0,0.0,,
67,2022-10-05,279.0,279.5,271.0,271.5,259.27783203125,394000,2022-10-05,271.5,267.3,1.0,0,0.0,,
68,2022-10-06,273.5,275.0,269.5,273.5,261.18780517578125,359000,2022-10-06,273.5,269.4,1.0,1,1.0,273.5,
69,2022-10-07,273.5,276.5,272.0,275.0,262.6202697753906,402000,2022-10-07,275.0,271.6,1.0,1,0.0,,
70,2022-10-11,269.0,271.0,265.0,269.0,256.890380859375,503000,2022-10-11,269.0,272.6,0.0,0,-1.0,,269.0
71,2022-10-12,267.5,267.5,258.5,259.5,247.8180389404297,689000,2022-10-12,259.5,269.7,0.0,0,0.0,,
72,2022-10-13,258.0,258.0,245.0,245.5,234.4482879638672,901000,2022-10-13,245.5,264.5,0.0,0,0.0,,
73,2022-10-14,252.0,254.0,251.0,253.5,242.08815002441406,408000,2022-10-14,253.5,260.5,0.0,0,0.0,,
74,2022-10-17,250.0,255.5,246.5,255.5,243.99810791015625,345000,2022-10-17,255.5,256.6,0.0,0,0.0,,
75,2022-10-18,257.0,263.0,256.0,263.0,251.1604766845703,505000,2022-10-18,263.0,255.4,1.0,0,0.0,,
